scid,message_count,percentage_of_total
970141990232064000,23,0.02
933333639428767745,23,0.02
906825513648979971,23,0.02
1001393409328742400,23,0.02
996446706330763265,23,0.02
949666884722425857,23,0.02
881958958711111681,23,0.02
993121783202578434,23,0.02
975965003926863873,23,0.02
994018984723349509,23,0.02
870670272755793922,23,0.02
895037649425465345,23,0.02
988746826475765763,23,0.02
941804277048410113,23,0.02
969725275300429824,23,0.02
1005894809852706817,23,0.02
943533808900636673,23,0.02
953106157245366273,23,0.02
1004406071201169410,23,0.02
871870939467153409,23,0.02
851963181888176128,23,0.02
882906737672781825,23,0.02
1006047641887571968,23,0.02
939557974804987905,23,0.02
981553821377232896,23,0.02
882907837188276225,23,0.02
969383327123308545,23,0.02
746267129181044736,23,0.02
914357168314974212,23,0.02
969726374838730752,23,0.02
989383443726663680,22,0.02
842157737250717697,22,0.02
998773273121718273,22,0.02
866141384561524737,22,0.02
846752596297908225,22,0.02
928318767005827072,22,0.02
974258561821310977,22,0.02
845293544386985984,22,0.02
859199067961425920,22,0.02
951045672271282180,22,0.02
930140657739300864,22,0.02
977086505631350784,22,0.02
1000245519103426562,22,0.02
878901216826425345,22,0.02
883243188222033920,22,0.02
984924924055191555,22,0.02
830134577630937088,22,0.02
944703689251684354,22,0.02
997655069651697665,22,0.02
947315029280227331,22,0.02
980018903231234049,22,0.02
971339358405001217,22,0.02
959160068157472769,22,0.02
976943569202315264,22,0.02
969724175911747584,22,0.02
966625751979720706,22,0.02
991030512111517697,22,0.02
909357688882987009,22,0.02
884809992277590017,22,0.02
954046239443451905,22,0.02
954531124080607233,22,0.02
979852876929564674,21,0.02
946218816310280192,21,0.02
908248281819709441,21,0.02
882383370062266369,21,0.02
835086777937428480,21,0.02
933332539973500929,21,0.02
963038045679714305,21,0.02
955537177244663810,21,0.02
999644086240608261,21,0.02
764976419075653645,21,0.02
850320511520210944,21,0.02
856571235144302592,21,0.02
876836334074265601,21,0.02
961178771551354881,21,0.02
866110598169493504,21,0.02
841896053420720129,21,0.02
999967342770847744,21,0.02
930609049770655745,21,0.02
968788491424628736,21,0.02
989846338034466817,21,0.02
941013728187580418,21,0.02
902158086907953155,21,0.02
995067918866448384,21,0.02
881240977568301057,21,0.02
961178771551354882,21,0.02
951045672271282177,21,0.02
852252353500348416,21,0.02
910083366516817921,21,0.02
891246533405573120,21,0.02
932694823246233601,21,0.02
872975948641730563,21,0.02
961178771551354883,21,0.02
1007263701796651008,21,0.02
947450269209264128,21,0.02
972686260080214017,21,0.02
872444884503560195,21,0.02
750193485174013955,21,0.02
918468242251907073,21,0.02
888391101766565890,21,0.02
1007455016796422145,21,0.02
975770390350725124,21,0.02
913760133428740096,21,0.02
959017131520557057,21,0.02
978371834834255877,21,0.02
969690090904748032,21,0.02
977189859724099585,21,0.02
972037548333662209,21,0.02
888001874608848899,21,0.02
926075763260456962,21,0.02
890375720185233409,21,0.02
918447351572070401,21,0.02
964248607978029057,21,0.02
860965983080415232,21,0.02
939749289807577089,21,0.02
994935977462267905,21,0.02
949850503092043778,21,0.02
880921019680817152,21,0.02
998940398712586241,21,0.02
961178771551354884,21,0.02
1005713390465450014,21,0.02
834715142979846144,21,0.02
830417152100466688,21,0.02
877466354213126146,21,0.02
996638021491556352,21,0.02
908126235801223168,21,0.02
941289705550512129,21,0.02
953838431741673477,21,0.02
848141279490605056,21,0.02
975770390350725122,20,0.02
935663504578445313,20,0.02
925169765667831808,20,0.02
989846338034466816,20,0.02
936618980281286658,20,0.02
999504448350191617,20,0.02
949808721654317060,20,0.02
989730889380331521,20,0.02
971807750346309632,20,0.02
872444884503560194,20,0.02
888062347805130753,20,0.02
999896973870170112,20,0.02
939108274507939841,20,0.02
990716051901054977,20,0.02
988891962099761152,20,0.02
978817137026465793,20,0.02
989846338034466819,20,0.02
974258561821310978,20,0.02
1000731503375941633,20,0.02
859205665045741569,20,0.02
954827992343707649,20,0.02
906656188924952577,20,0.02
953852725544681472,20,0.02
869891818605379585,20,0.02
995195462253281280,20,0.02
965694465671626753,20,0.02
951819728426893313,20,0.02
984924924055191552,20,0.02
978371834834255874,20,0.02
980205820168699904,20,0.02
987096459519000577,20,0.02
978478487355523073,20,0.02
889312492527812608,20,0.02
947437075103809536,19,0.02
1001594619777253377,19,0.02
973767080120483841,19,0.02
966331082987143169,19,0.02
996547861617377280,19,0.02
943775701332066307,19,0.02
987587941164908545,19,0.02
966237624431673345,19,0.02
