orig_node,message_count,percentage_of_total
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,51,0.12
028b10be90ddfb4ef158c252163e4f340c8a093beee20427d39a0986abac58a55e,51,0.12
027831fdda22a3fdb95ac7f4a6348467720ba073edb61317c7bc965315c9e5bbe1,51,0.12
022d93f2887eb1877a740a7537c9ebc8c5cc960fc18927d4f237477aadd6d108b6,51,0.12
03f306e8e1592fc0053ba7fe681ec27c274c39357e1470ca7e62e32f9391e6581b,50,0.12
02fce3ea57e9ce97cb7da178b91ba00d194b1a4d0928325463c777622b88eab001,50,0.12
0278f045df017c64c27bb8126c0dd52bbcd82021c0f89a913bf32a13d9e253f692,49,0.12
025f1456582e70c4c06b61d5c8ed3ce229e6d0db538be337a2dc6d163b0ebc05a5,49,0.12
02ebc152eaaa97f67b1f67f7ecc30c629b24f3da30f07c2aad2cc2232236acc290,49,0.12
036725311678296f152af12a61a25d3f82e7b49d799fa93e48e1b34670eeaf69b5,49,0.12
02a7311555b28f6851698999c8045de5dd3a355feae444e6ca1300bb52cceb1e7b,48,0.12
0210893a639d446bd3a1a3dbfa9e7c3dd5ba25a8b74eab20f86192b94ba9b38598,48,0.12
03c7d41659d9192c552c52f904e41fb9f6022c964903de51e3b9c35eb41316cc57,48,0.12
036cb1a035eb1c7f125c004ed046d329285bd57e4100f18b577af721659becd832,48,0.12
02b2a16259a015f875adf555dd077eaa2a1b5fe55115c876004bb890675298ad21,48,0.12
03f778538df6dfde80eca8a943847635a5be670df85406f1039868b8b1fd3b205e,47,0.11
0297876c47c6efe8b1d1edc22f6b927019d566bf91b5df20c7cac6af5a11b13b80,47,0.11
022df0b06f76aa6190916f22584e209f11d33611d57918fc668fcd1994e30be7ef,47,0.11
03e4d457261595cb52bb2088c831304905a47df8715a5d83a11b60dca5bd4933c4,47,0.11
03df258c786d0241cbbe38063e82a02f251b937fbe4fd2d53187a43157129b8e7e,46,0.11
02abfbe63425b1ba4f245af72a0a85ba16cd13365704655b2abfc13e53ad338e02,46,0.11
0357e23939805a0a739b693107f1efd33936023afb7dea6472cd2118df6a0a7036,46,0.11
02bb5e47ee26aca1654ce092d9d06eac15d953210c737f2220e2d7e54c4f108677,45,0.11
035adfeca8fc95de5e2e9dbf9be39ac577b510e7dad0ad9287117d01f282eb667a,45,0.11
02f6fa3a67cb1ae7aa5ac5c86e765e6e2324570b3d6a367dc8c72bac45a5c1743f,45,0.11
02dc8e1989f6250411e6e30137ee1e984ad7f8d3aa51454f0a40faef0e98052381,45,0.11
02a8a167cc40dad18d18520665fe37d038890c80856aa1e716450a84712a4862f2,45,0.11
027f7953c23c4612f52939bdbbdbf5ae849dd1b89a557ac561d6522a13479bd8ca,45,0.11
0226f31c5f3a8b48bbbb7aaa97a10effcfb445b5972a676955d5c095383d35a428,44,0.11
03d9231f97a1dccd822ffc58226e9c7f2bec9dac00df4c0ff6c73b3d3f6c6ef6ea,44,0.11
026af41af0e3861ba170cc0eef8f45a1015125dac57c28df53752dcaeea793b28f,44,0.11
020ce3c7a4516ae35d76c49990da4f727012f20c49127fed46000c6d5dc4908a97,44,0.11
03d6e01e9cfa3e4f8d4720bd65d57612625b35b50f20d32b951ae5b95e608113ad,43,0.1
02d4177d3f5c217cb68f13dd2b22b6f9ef8b2bb7a3342394edf72a2c034b8466f9,43,0.1
036d306e01a65128e5130c99a004119f36bc296ee6f002a7c3c478530b8249a548,43,0.1
033e9ce4e8f0e68f7db49ffb6b9eecc10605f3f3fcb3c630545887749ab515b9c7,43,0.1
038785f5cb66513dde1d874393f7a85862d70c276601a54572dab16e3ba5ab8503,43,0.1
03da1c27ca77872ac5b3e568af30673e599a47a5e4497f85c7b5da42048807b3ed,43,0.1
031cfa0a1f79301eb8ce5d2a69eb3b84cea8c91dc7b0b27a0268bf2b0394288663,43,0.1
032a8da4f1162bcb0d8bf31caad2b200b034a04b0c48cd535897a1d0e34e7422c4,43,0.1
026b33a83311adebb7915427734e483787ef57d856f5c792ea6f866cfea7e58908,42,0.1
0212a37c242e693e8d2ecdcfe748aa98b3aa2f59a9f2c4e73215e2cd37ba1f068b,42,0.1
02957896a4cdbec7618eb6eee478957f7f5acaaa03c7af5179810ddaf9afbb8327,42,0.1
02bac47e331deb7890b2d80fa3d813196e44e9b5bf930ccdd0f7fc614e842095fd,42,0.1
