pubkey,active_channels,closed_channels,opened_channels,age_days,asn,iso_code,net_type,sockets,alias
02aa6b03fcb868cd111d95d5e3679e9ec3b96fd899266beed66463a076e79b06e9,17,25,17,760,16509,US,both,"54.214.32.132:20537,b6egxvqopvtxod26rlsc3ymbv454kuykvdbiedtvcfiavn2skvqixtid.onion:9735",desert-dingo
0256978982f85682c4182e887a3d865237048fe66b37bf464d155edc2f4b02d38c,1,1,1,463,,,clearnet,"0.0.0.0:9735,[::]:9735",Alby Hub
033695f67d4b32066e6f9a7808b9bc4b8ed9a921c4417da4753084339d7c947da1,1,36,1,2649,,,none,,zombie
034502648ec5f4c673830e33984e72a03185f9df6758977fc3c67fade393d400e5,1,79,5,1878,,,tor,v65rpfrgozle5jdgvhv5vgblin5c3qgzphacqfgjs7ovcjxbcqqmemqd.onion:9735,MYBONK_ElSalvador
036b68a35fb90c15d1499829bd779b61ad9966cce0e5115c5783f936826d30c834,2,13,2,560,,,tor,6hmf45lvoz2sihmvatljphba74htzd7q2tyzflbkytms7hgepm2iorqd.onion:9735,Lemniscate Media
0396b4a27564116429d7e683ba0926542c35e69da05e361d22999b666f6c47bf37,2,3,2,186,,,tor,zyp7opf6auqexwrzzfffb5yawpofsumm6be3xsow25no3ojghhjvlbyd.onion:9735,0396b4a27564116429d7
02377f1e0a67d226c85d015c7b1a205d3a0dfb359d7bacb9073ed889de728072c1,1,1,1,98,,,tor,jxax4bkn5pyhqgd4k32axrpkpstya6sd4vr3dstn3hwvd5dusitkjwad.onion:9735,LIGHTNINGTRINITY
02059c4b10c238bdc6a73c3a19ceeebe869c83b68ba41a7e7980082d2da4b7a76e,1,0,1,53,4134,CN,clearnet,106.57.158.151:9735,LNT.wl0198
023631624e30ef7bcb2887e600da8e59608a093718bc40d35b7a57145a0f3db9af,87,1918,87,1331,16509,US,clearnet,52.27.151.162:9735,speedupln.com
0207ed785cc49953a2230a25e0fa1a1b78fa84b0878ab5725421f32695f3377d57,1,19,2,1690,,,tor,e3g2gs67aiynizft2cwp2mc2zsjsfjsp3hjmxgck6b3zzgtapivortid.onion:9735,kbmfairsharebremen
021219960c0f41944366db375ef177ba97419d50766aaa4d8a9b4cdda3dde47a7b,0,55,0,817,,,none,,iPayBTC
03e05a1024fa2919bd42e4d2e57d5fe67f7f9e780ea557eba44fec2daf01083107,1,3,1,2076,,,none,,03e05a1024fa2919bd42
03d06758583bb5154774a6eb221b1276c9e82d65bbaceca806d90e20c108f4b1c7,45,1752,45,2512,,,tor,gwdllz5g7vky2q4gr45zguvoajzf33czreca3a3exosftx72ekppkuqd.onion:9735,yalls.org yalls-tor
0380df23296bb6ac107e153d1a721db163e8aae1d107affd71f193f1e2d8e0ac3a,1,1,1,1635,6724,DE,clearnet,85.214.225.240:9735,altuno.de
036ac54a55189e853c5c22bb5dbc3261d856b508e33e725f1956d64e51be48f7c6,5,6,5,1129,3352,ES,clearnet,79.148.43.199:9735,esternocleidomastoideo
022e0a1e97a9e470e53387a114aa6f526bf45fc5259e40717e578e8a0557d815cc,1,0,1,145,4837,CN,clearnet,124.88.111.190:9735,LNT.dmy419
