orig_node,message_count,percentage_of_total
03223cf7709a22ade0e34764e7222ffa792fbbba2878a75b84705545f3726021f6,169,0.14
039f5888701d162da5c6fda161521aea1df813d845405f964ec54bc432b3ce4879,169,0.14
027831fdda22a3fdb95ac7f4a6348467720ba073edb61317c7bc965315c9e5bbe1,169,0.14
03d607f3e69fd032524a867b288216bfab263b6eaee4e07783799a6fe69bb84fac,168,0.13
032a8da4f1162bcb0d8bf31caad2b200b034a04b0c48cd535897a1d0e34e7422c4,168,0.13
0259156aceaa943d8831fcc5252e3fbc80022256c56d39d430a27d7b59aa56c6b7,166,0.13
03c5bfa5cab7e52e7cebc45fd1b86ea30ad518648651314563452b78b822333660,166,0.13
026205c9dd2928ba52a6ebcd86ebc1a69b4d6aed1e5ae750c32f67b3428fe3e5d8,165,0.13
02a7311555b28f6851698999c8045de5dd3a355feae444e6ca1300bb52cceb1e7b,164,0.13
03ad866d77dd2b4757836cd4bb2e1b8a48a7e741cc4cf6fcb1a2f06d934a374e4c,163,0.13
0202e7727ee46d943a44c7bf0dce14220a839630dee67d03446bf935178b55a0df,163,0.13
027a9d7e95be66eb8933e4a8549a2fd42d6f18726d89cedfa7fec6fb00040041c6,162,0.13
038fdaa84188212e7aec321d443c3206a3ea4e009aa41f37be194154b1be6726c1,162,0.13
028d98b9969fbed53784a36617eb489a59ab6dc9b9d77fcdca9ff55307cd98e3c4,161,0.13
0395ab9ab6ac75949a648c5b7830ecea192c618df2fa6220154a5066878d9f439c,159,0.13
038e49873ba9fc3c0906211e931ecc1f733f9c00b2038b3427bc8e894e32d3ca14,159,0.13
020ce3c7a4516ae35d76c49990da4f727012f20c49127fed46000c6d5dc4908a97,159,0.13
025481dcec531c23cbce63364d1f069d78005f2f9e7af4f9832fd26fe6f48c7f80,159,0.13
03f778538df6dfde80eca8a943847635a5be670df85406f1039868b8b1fd3b205e,158,0.13
0389d4bfe60658ecc4859fc42b81e12e0eb5fcc142b938cba2760b4e921c12ed13,158,0.13
